dims,io_mode,np,stripe,bw_avg_GBs,bw_min_GBs,bw_max_GBs,bw_med_GBs,bw_std_GBs
1,collective,256,1M-c1,0.849941020803072,0.602674574655488,0.974599069106176,0.909592220401664,0.125108018479104
1,collective,256,4M-c4,3.484060895674368,3.134925733625856,3.7058305148846076,3.5189414638387198,0.17543028906393598
1,collective,256,64M-c16,2.65876292501504,2.36920501174272,2.864302456307712,2.6474984641658876,0.18310098740838399
1,collective,64,4M-c4,1.101483861868544,1.003347653951488,1.1447843118120962,1.119430481281024,0.044292079878144
1,collective,8,4M-c4,0.558695949795328,0.469938033655808,0.698428608741376,0.5688290757836799,0.066281587867648
1,independent,256,1M-c1,0.9559157160017919,0.88617774481408,1.036488431108096,0.961929621274624,0.050969744244736
1,independent,256,4M-c4,3.3570641338695677,2.9080680587591683,3.802393182470144,3.3023755571691518,0.2708493303808
1,independent,256,64M-c16,2.098045621633024,1.412635802206208,2.6915047588495358,2.063437598294016,0.416712289681408
1,independent,64,4M-c4,1.120554860937216,0.994300127084544,1.200600119246848,1.132645656297472,0.057558709567488
1,independent,8,4M-c4,0.643736747900928,0.54689442824192,0.706062523039744,0.672835628433408,0.060886468263936
2,collective,256,1M-c1,0.780719505801216,0.717539790290944,0.824419101442048,0.771434632708096,0.038159254552575995
2,collective,256,4M-c4,0.8314109118382079,0.76794470858752,0.884020832370688,0.827581550034944,0.034702614331392
2,collective,256,64M-c16,0.740868942200832,0.703736387207168,0.7646722297692159,0.741766894452736,0.017536281214976003
2,collective,64,4M-c4,0.274339808149504,0.271800010276864,0.275703458168832,0.27433698538291196,0.001021102260224
2,collective,8,4M-c4,0.257267363479552,0.255233273888768,0.259043813752832,0.25669050302463997,0.001219052437504
2,independent,256,1M-c1,0.030926622949376,0.024588122587136,0.036265617522688004,0.030199436541952,0.003449288654848
2,independent,256,4M-c4,0.143997462904832,0.090737368629248,0.281445745557504,0.09854269154918399,0.06353243865088
2,independent,256,64M-c16,0.9648236522373119,0.46278103269376,1.517644152832,0.6581185790607359,0.409659138637824
2,independent,64,4M-c4,0.772191295635456,0.757858590261248,0.791270080380928,0.7684066115584001,0.011068046835712001
2,independent,8,4M-c4,0.427009102577664,0.36539399667711997,0.48290842804224005,0.415202946318336,0.043007187353600006
3,collective,256,1M-c1,0.60940897746944,0.557162358112256,0.7202922592993279,0.572827676704768,0.058377108455424
3,collective,256,4M-c4,0.563988307902464,0.47937875869695995,0.7259042254684159,0.5458151079936,0.06764918996991999
3,collective,256,64M-c16,0.55334165020672,0.512275355009024,0.6285853531832319,0.531742130700288,0.035943547404288
3,collective,64,4M-c4,0.16613160517631997,0.154702759067648,0.224345733464064,0.156781233831936,0.020618115284991998
3,collective,8,4M-c4,0.20890056654848,0.204830014439424,0.214199175217152,0.20750106466713603,0.00289702150144
3,independent,256,1M-c1,0.063127371644928,0.046512847454208,0.09272095145984,0.057683309756416,0.016771662741504
3,independent,256,4M-c4,0.388966506299392,0.288191774982144,0.453472213270528,0.37251857776639996,0.053070999322624
3,independent,256,64M-c16,0.41887788433407996,0.3640340512768,0.46819936986726396,0.417499998846976,0.027864080580608
3,independent,64,4M-c4,0.160688544677888,0.07185004547276799,0.19196280202854402,0.171645716135936,0.041539957948416
3,independent,8,4M-c4,0.096457062350848,0.09089922891776,0.110861403291648,0.09402331221196801,0.005483720081407999
